Release 8.1i - Fit P.20131013
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 4-30-2019  2:52PM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  UART.ngd
output file: UART_pad.csv
Part type:   xa2c384
Speed grade: -11
Package:     tq144

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P36,GND,,GND,,,,,,,,,,
P37,,VCC,VCC,,,,,,,,,,
P38,KPR,,I/O/GCK2,,,1,,,,,,,
P39,KPR,,I/O/DGE,,,1,,,,,,,
P40,KPR,,I/O,,,1,,,,,,,
P41,KPR,,I/O,,,1,,,,,,,
P42,KPR,,I/O,,,1,,,,,,,
P43,KPR,,I/O,,,1,,,,,,,
P44,KPR,,I/O,,,1,,,,,,,
P45,KPR,,I/O,,,1,,,,,,,
P46,KPR,,I/O,,,1,,,,,,,
P47,GND,,GND,,,,,,,,,,
P48,KPR,,I/O,,,1,,,,,,,
P49,KPR,,I/O,,,1,,,,,,,
P50,KPR,,I/O,,,1,,,,,,,
P51,KPR,,I/O,,,1,,,,,,,
P52,KPR,,I/O,,,1,,,,,,,
P53,KPR,,I/O,,,1,,,,,,,
P54,KPR,,I/O,,,1,,,,,,,
P55,,VCCIO-1.8,VCCIO,,,,,,,,,,
P56,KPR,,I/O,,,3,,,,,,,
P57,KPR,,I/O,,,3,,,,,,,
P58,KPR,,I/O,,,3,,,,,,,
P59,KPR,,I/O,,,3,,,,,,,
P60,KPR,,I/O,,,3,,,,,,,
P61,KPR,,I/O,,,3,,,,,,,
P62,GND,,GND,,,,,,,,,,
P63,TDI,,TDI,,,,,,,,,,
P64,KPR,,I/O,,,3,,,,,,,
P65,TMS,,TMS,,,,,,,,,,
P66,KPR,,I/O,,,3,,,,,,,
P67,TCK,,TCK,,,,,,,,,,
P68,KPR,,I/O,,,3,,,,,,,
P69,KPR,,I/O,,,3,,,,,,,
P70,KPR,,I/O,,,3,,,,,,,
P71,KPR,,I/O,,,3,,,,,,,
P72,GND,,GND,,,,,,,,,,
P73,,VCCIO-UNUSED,VCCIO,,,,,,,,,,
P74,KPR,,I/O,,,3,,,,,,,
P75,KPR,,I/O,,,3,,,,,,,
P76,KPR,,I/O,,,3,,,,,,,
P77,KPR,,I/O,,,3,,,,,,,
P78,KPR,,I/O,,,3,,,,,,,
P79,KPR,,I/O,,,3,,,,,,,
P80,KPR,,I/O,,,3,,,,,,,
P81,KPR,,I/O,,,3,,,,,,,
P82,KPR,,I/O,,,3,,,,,,,
P83,KPR,,I/O,,,3,,,,,,,
P84,,VCC,VCC,,,,,,,,,,
P85,KPR,,I/O,,,3,,,,,,,
P86,KPR,,I/O,,,3,,,,,,,
P87,KPR,,I/O,,,3,,,,,,,
P88,KPR,,I/O,,,3,,,,,,,
P89,GND,,GND,,,,,,,,,,
P90,GND,,GND,,,,,,,,,,
P91,KPR,,I/O,,,3,,,,,,,
P92,KPR,,I/O,,,3,,,,,,,
P93,,VCCIO-UNUSED,VCCIO,,,,,,,,,,
P94,KPR,,I/O,,,4,,,,,,,
P95,KPR,,I/O,,,4,,,,,,,
P96,KPR,,I/O,,,4,,,,,,,
P97,KPR,,I/O,,,4,,,,,,,
P98,KPR,,I/O,,,4,,,,,,,
P99,GND,,GND,,,,,,,,,,
P100,KPR,,I/O,,,4,,,,,,,
P101,KPR,,I/O,,,4,,,,,,,
P102,KPR,,I/O,,,4,,,,,,,
P103,KPR,,I/O,,,4,,,,,,,
P104,KPR,,I/O,,,4,,,,,,,
P105,KPR,,I/O,,,4,,,,,,,
P106,KPR,,I/O,,,4,,,,,,,
P107,KPR,,I/O,,,4,,,,,,,
P108,GND,,GND,,,,,,,,,,
P109,,VCCIO-UNUSED,VCCIO,,,,,,,,,,
P110,KPR,,I/O,,,4,,,,,,,
P111,KPR,,I/O,,,4,,,,,,,
P112,KPR,,I/O,,,4,,,,,,,
P113,KPR,,I/O,,,4,,,,,,,
P114,KPR,,I/O,,,4,,,,,,,
P115,KPR,,I/O,,,4,,,,,,,
P116,KPR,,I/O,,,4,,,,,,,
P117,KPR,,I/O,,,4,,,,,,,
P118,KPR,,I/O,,,4,,,,,,,
P119,KPR,,I/O,,,4,,,,,,,
P120,KPR,,I/O,,,4,,,,,,,
P121,KPR,,I/O,,,4,,,,,,,
P122,TDO,,TDO,,,,,,,,,,
P123,GND,,GND,,,,,,,,,,
P124,KPR,,I/O,,,4,,,,,,,
P125,KPR,,I/O,,,4,,,,,,,
P126,KPR,,I/O,,,4,,,,,,,
P127,,VCCIO-UNUSED,VCCIO,,,,,,,,,,
P128,KPR,,I/O,,,4,,,,,,,
P129,KPR,,I/O,,,2,,,,,,,
P130,KPR,,I/O,,,2,,,,,,,
P131,KPR,,I/O,,,2,,,,,,,
P132,KPR,,I/O,,,2,,,,,,,
P133,KPR,,I/O,,,2,,,,,,,
P134,KPR,,I/O,,,2,,,,,,,
P135,DATA<5>,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P136,DATA<4>,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P137,DATA<3>,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P138,BUSY,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P139,KPR,,I/O,,,2,,,,,,,
P140,KPR,,I/O,,,2,,,,,,,
P141,,VCCIO-1.8,VCCIO,,,,,,,,,,
P142,KPR,,I/O,,,2,,,,,,,
P143,KPR,,I/O/GSR,,,2,,,,,,,
P144,GND,,GND,,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


